区分,公開日,タイトル,動画URL,再生数,高評価数,コメント数,動画尺(秒),対平均倍率(直近1年長尺)
長尺,2026-06-13,【超有料級】腸活のプロが惚れた麹・甘酒専門店が宝庫すぎた！【神楽坂MURO】,https://www.youtube.com/watch?v=lcI92HposcE,22357,412,36,1714,0.48
長尺,2026-06-09,【腸活してからサウナに入れ】プロが語る腸内環境を壊す恐ろしい入り方3選,https://www.youtube.com/watch?v=9DVJwwIn2zY,3866,80,4,890,0.08
長尺,2026-06-06,【サイゼで腸活】週末は家族でサイゼリヤ！外食中でも食べられる最強メニューをプロが大公開,https://www.youtube.com/watch?v=JRbc-YVsqhc,12386,264,40,867,0.26
長尺,2026-06-02,【下痢・胃もたれ解消】腸活を極めたプロが最近ハマっている麹の凄さ3選を徹底解説！,https://www.youtube.com/watch?v=6gXPi1v0lWc,18015,271,15,1180,0.38
長尺,2026-05-30,【腸活プロ】旅行の朝ルーティン大公開！霧島で整うリーダーのアンチエイジング旅,https://www.youtube.com/watch?v=tIx3EYxm9xk,3503,69,2,2008,0.07
長尺,2026-05-26,【2026年最新】腸活を極めたプロが本気で選ぶおすすめ最強サプリ7選！,https://www.youtube.com/watch?v=kAPOcQYlfjs,27969,362,34,1286,0.59
長尺,2026-05-23,【腸活ダイエット】むくみ解消で見た目激変！腸活のプロも実践する即痩せ習慣6選,https://www.youtube.com/watch?v=Doasvik4Prw,8198,136,10,829,0.17
長尺,2026-05-19,【認知症予防】生活習慣で45%防げる！？腸活のプロが解説する脳のゴミを掃除する最強習慣,https://www.youtube.com/watch?v=yLKVe8YVzcw,6087,139,6,1091,0.13
長尺,2026-05-16,【腸活vlog】腸活を極めたプロが大絶賛する鹿児島・霧島が最高すぎた！,https://www.youtube.com/watch?v=KU4-sRJXZlk,4113,94,8,1490,0.09
長尺,2026-05-12,【整腸剤】ビオフェルミン・エビオス錠など人気のオススメ6選を腸活のプロが徹底解説！,https://www.youtube.com/watch?v=KJhUESOvWn4,58280,621,31,1110,1.24
長尺,2026-05-09,【9割の人がやってる】腸活のプロが明かす睡眠の質を爆下げする5つのNG習慣,https://www.youtube.com/watch?v=VQN4Gf-M9wM,9622,193,9,937,0.20
長尺,2026-05-05,【9割が買ってる】気付かず腸内を壊す腸活を極めたプロが絶対に摂らない油9選,https://www.youtube.com/watch?v=5fuRCrvxDOk,8131,172,13,966,0.17
長尺,2026-05-02,【オリーブオイル・亜麻仁油・えごま油】腸内環境が激変！腸活のプロがおすすめする最強油9選,https://www.youtube.com/watch?v=riQUGM2XQEQ,14588,238,18,975,0.31
長尺,2026-04-28,【プロテイン難民必見】腸活を極めたプロがおすすめする老けを防ぐ最強商品5選が凄すぎた！,https://www.youtube.com/watch?v=u0b4kZX1bXI,76550,1020,65,1186,1.63
長尺,2026-04-25,【保存版】スーパーで買える最強の腸活ヨーグルト7選をプロが徹底比較！,https://www.youtube.com/watch?v=KItK4-zpOo4,201852,1581,113,1046,4.29
長尺,2026-04-21,【買わなきゃ損】腸活のプロが久世福商店で絶対に買う毎日食べたい食品5選が美味しすぎた！,https://www.youtube.com/watch?v=lWb6zrAimkA,11482,180,3,1030,0.24
長尺,2026-04-18,【衝撃】無添加でも腸には最悪！腸活プロが久世福商店で絶対に買わない商品5選が意外すぎた...,https://www.youtube.com/watch?v=xUYBmBc317A,7997,170,6,924,0.17
長尺,2026-04-14,【頭皮ケア3選】腸活のプロが選ぶ最強シャンプー！薄毛やニオイを解決する菌ケアの真実,https://www.youtube.com/watch?v=hItyY347ZTQ,28657,306,16,1095,0.61
長尺,2026-04-11,【口内ケアと最強歯ブラシ】腸活の効果を半減させる口腔内の炎症を止める習慣を教えます！,https://www.youtube.com/watch?v=5qYuEWM0b3E,10353,205,12,1110,0.22
長尺,2026-04-07,【衝撃】納豆やもち麦が逆効果？腸活でお腹が張る原因と放置NGな人の特徴,https://www.youtube.com/watch?v=5dZ7Q3Brmws,32313,330,15,886,0.69
長尺,2026-04-04,【トレーニー必見】筋トレで老けます！腸活のプロが語るプロテインの飲み過ぎで寿命が縮む理由,https://www.youtube.com/watch?v=q7lQ_TgP8bk,150414,2339,239,1117,3.20
長尺,2026-03-31,【衝撃】1時間の散歩より1分のダッシュが効く？最新研究が明かす驚きの腸活術,https://www.youtube.com/watch?v=6DFwGS4SUCY,7345,152,24,900,0.16
長尺,2026-03-28,【腸活鍋】食物繊維量がバグってる？オイシックスを腸活プロが忖度なしに実食してみた【Oisix】,https://www.youtube.com/watch?v=ofItnWEaDd4,6344,96,15,1405,0.13
長尺,2026-03-24,【妊活と腸活】知らなきゃ損！腸内環境から変える妊娠しやすい体づくり,https://www.youtube.com/watch?v=9-yOgWcUhUI,4016,86,9,1021,0.09
長尺,2026-03-21,【最強の朝食】腸活のプロが辿り着いた努力ゼロで腸内環境を整える最短2品,https://www.youtube.com/watch?v=XlKKa2fkaMg,41035,703,59,1176,0.87
長尺,2026-03-17,【腸活お菓子】無印良品でプロがおすすめするおやつ6選が間違いなかった！,https://www.youtube.com/watch?v=R8xjJXinAnc,28809,341,22,977,0.61
長尺,2026-03-14,【大暴露】YouTubeでは絶対に言えない腸活業界の裏側と忖度なしの本音を全て話します！,https://www.youtube.com/watch?v=hZG0BZjJlTk,6891,98,9,881,0.15
長尺,2026-03-10,【腸活は口腔内から】歯科医が教える腸活の盲点、究極の歯磨き粉5選,https://www.youtube.com/watch?v=XFlaHS5ldqM,121321,1189,53,1031,2.58
長尺,2026-03-07,【9割が体感】腸活サプリが効く人と効かない人の決定的な違いをアンケート結果から紐解く,https://www.youtube.com/watch?v=NOsAA1epYp8,4160,73,10,1102,0.09
長尺,2026-03-03,【40代の腸活】20代より動ける！腸活プロの血糖値と腸内環境を支配する究極習慣,https://www.youtube.com/watch?v=JuPE9_tPXvg,26973,309,20,1396,0.57
長尺,2026-02-28,【エナジードリンク徹底比較】人口甘味料が血糖値と腸活に与える「最悪の影響」を解説！,https://www.youtube.com/watch?v=J1dMgqnT8q4,6548,109,15,1108,0.14
長尺,2026-02-24,【衝撃】生野菜が健康は嘘！おすすめ冷凍野菜5選を腸活プロが厳選！,https://www.youtube.com/watch?v=epR7yDxixnM,18985,345,7,692,0.40
長尺,2026-02-21,【昼飯・寝酒・早食い】現代人の腸活が崩れるNG習慣5選をプロが解説！,https://www.youtube.com/watch?v=yJrWDT6BBS4,33217,447,33,925,0.71
長尺,2026-02-17,【保存版】絶対に食べてはいけないNG成分7選を腸活プロが警告！,https://www.youtube.com/watch?v=JSpBuc-fz4A,30907,555,44,882,0.66
長尺,2026-02-14,【コストコ爆買い】腸活を極めたプロがCOSTCOで絶対に買う商品を大公開！,https://www.youtube.com/watch?v=2vC5p-DyxUA,87111,992,32,879,1.85
長尺,2026-02-10,【たんぱく質・脂質・炭水化物】アメリカで大炎上中の新常識に腸活プロが物申す,https://www.youtube.com/watch?v=9IpHvWikDeE,19992,302,30,856,0.43
長尺,2026-02-07,【超有料級】7年ぶりに腸活のプロをコストコに連れて行ったら、選び方が凄すぎた！【Costco】,https://www.youtube.com/watch?v=OAlxKREPnHI,287077,2917,77,1403,6.11
長尺,2026-02-03,【幼少期・思春期・40代・60代別】年代別腸活のやり方をプロに聞いてみた,https://www.youtube.com/watch?v=d30DUk5VH-4,29226,414,46,1003,0.62
長尺,2026-01-31,【有料級】腸活のプロも毎日飲むビタミンDが実はとても重要でした...！,https://www.youtube.com/watch?v=Y6S5J-gRflo,19880,274,26,967,0.42
長尺,2026-01-27,腸活初心者の腸内フローラ検査結果が出たので、プロに診断してもらいました...,https://www.youtube.com/watch?v=yMPPcP8B3Pw,17167,199,13,1198,0.37
長尺,2026-01-24,甘いものは全部ダメ？砂糖・人工甘味料・フルーツを腸活のプロが徹底比較【四毒抜き】,https://www.youtube.com/watch?v=8bzfdNW_Tjs,32884,682,96,1139,0.70
長尺,2026-01-20,【衝撃】腸活を台無しにする血糖値スパイクの恐怖と対策5選をプロに聞いてみた,https://www.youtube.com/watch?v=yIXry-BKc2s,15766,292,41,1310,0.34
長尺,2026-01-17,腸活のプロが遂にあの大物ビジネスインフルエンサーと腸活始めます！,https://www.youtube.com/watch?v=43vnygouods,3348,43,3,822,0.07
長尺,2026-01-13,クレンジングオイル9割が間違い！肌質別3選を腸活プロが教えます！,https://www.youtube.com/watch?v=UzIpwlPHYT8,26303,328,43,1496,0.56
長尺,2026-01-10,「行かなきゃ損」腸活を極めたプロが成城石井で絶対に買う食品を紹介します！,https://www.youtube.com/watch?v=_uoj9RczUKw,54582,714,56,1196,1.16
長尺,2026-01-06,美肌は腸活から！菌ケアのプロが実際にやっている最強美容法を教えます！,https://www.youtube.com/watch?v=zAxnATVENso,32699,428,25,1006,0.70
長尺,2025-12-30,腸活プロの腸内を腸内細菌の第一人者にガチレビューしてもらった...【内藤裕二】,https://www.youtube.com/watch?v=BKST-LYtgng,14188,297,18,1270,0.30
長尺,2025-12-27,腸内細菌の第一人者に老化と腸活の新常識を聞いたら、衝撃すぎた...【内藤裕二】,https://www.youtube.com/watch?v=Fe7LZi7k0ZI,84236,1417,47,1787,1.79
長尺,2025-12-23,【保存版】腸活プロが実際に毎日行っている夜の快眠ルーティンを一挙大公開！,https://www.youtube.com/watch?v=g3WmjlGyCAs,44561,520,21,1143,0.95
長尺,2025-12-20,【忖度無し】四毒抜きについて腸活のプロに聞いてみたら、意外な反応でした…,https://www.youtube.com/watch?v=q_HmklMR8Z8,192996,3764,973,1192,4.11
長尺,2025-12-16,【2025最新】ファスティングの新常識と正しいやり方を腸活プロが教えます！,https://www.youtube.com/watch?v=yvOR15HO1PI,10597,204,20,1149,0.23
長尺,2025-12-13,【有料級】腸活を極めたプロが実際に行っている朝のルーティンを大公開！,https://www.youtube.com/watch?v=foN_vLVqGvU,114544,1801,98,1143,2.44
長尺,2025-12-09,腸活中もパスタを食べたい！グルテン置き換え商品5選が美味しすぎた・・・,https://www.youtube.com/watch?v=PNv3p2xlIiY,12638,227,17,880,0.27
長尺,2025-12-06,実は口臭の原因は腸！歯磨きだけでは足りない！腸活プロが対策と新常識を語ります！,https://www.youtube.com/watch?v=qXcXtDzzZCA,6765,131,10,1067,0.14
長尺,2025-12-02,腸活が逆効果...プロがカルディで絶対に買わない商品4つを解説！【KALDI】,https://www.youtube.com/watch?v=SPa3w-FVMns,15392,220,16,931,0.33
長尺,2025-11-29,【カルディ腸活】美味しいのに腸に最高なKALDI食品5つをプロが見つけてきました！,https://www.youtube.com/watch?v=jhr2uboaFbM,136704,1285,76,1097,2.91
長尺,2025-11-25,【睡眠・ダイエット】腸活を極めたプロおすすめの最強サプリがやばすぎた・・・,https://www.youtube.com/watch?v=YXripGV39lc,22438,341,23,801,0.48
長尺,2025-11-22,コレで便秘も怖くない！腸活プロがおすすめの最強サプリ＆対策5選を大公開！,https://www.youtube.com/watch?v=GseOWsz2ewA,25312,262,21,689,0.54
長尺,2025-11-18,下痢・便秘・腹痛...その原因、過敏性腸症候群（IBS）？腸活プロが予防法をお教えします。,https://www.youtube.com/watch?v=QuZBV9fCo_c,24198,272,18,722,0.51
長尺,2025-11-15,腸活でストレス回避！プロが実際にやっている対策5つを紹介します。,https://www.youtube.com/watch?v=RKohLj1qvTU,28423,424,20,867,0.60
長尺,2025-11-11,「薄毛が気になる人へ」ハゲやすいNG習慣5つを腸活のプロが警告します。,https://www.youtube.com/watch?v=ftI5JQA9mkM,75340,697,42,765,1.60
長尺,2025-11-08,【腸活台無し】今すぐやめてほしいNGダイエット5選をプロが解説します！,https://www.youtube.com/watch?v=bFf7gG37IHY,14319,175,15,1099,0.30
長尺,2025-11-04,無印良品が大好きな腸活のプロも、コレは買いません...,https://www.youtube.com/watch?v=YUrJveu8ngo,20938,258,10,722,0.45
長尺,2025-11-01,「買わなきゃ損」腸活を極めたプロのおすすめ無印良品食品6選が美味しすぎた,https://www.youtube.com/watch?v=4Zsk228DWM4,654146,4699,61,796,13.91
長尺,2025-10-28,【有料級】腸活のプロがコンビニで絶対に買う美味しすぎる食品5選,https://www.youtube.com/watch?v=DTJB4ZB7DBU,52856,758,36,834,1.12
長尺,2025-10-25,「コレは食べません！」腸活のプロがコンビニで絶対に買わない食品５選,https://www.youtube.com/watch?v=7OVWlbwshQM,34778,434,34,884,0.74
長尺,2025-10-21,「毎日食べてます」腸活を極めたプロが厳選した1日のフル食を大公開！,https://www.youtube.com/watch?v=fpAnuNrRW6E,364823,4663,188,986,7.76
長尺,2025-10-18,【腸漏れ】今すぐやめて！腸活のプロが教えるあなたも食べてるNG食品5選,https://www.youtube.com/watch?v=Qo9c5EDfTYA,27468,389,13,741,0.58
長尺,2025-10-14,【やってはいけない】腸活のプロが暴露する老化を加速させる習慣5選,https://www.youtube.com/watch?v=arAbsMeBV30,52153,804,32,863,1.11
長尺,2025-10-11,【2025年版】勘違いしがちなグルテンフリーの落とし穴5選,https://www.youtube.com/watch?v=z34UKW6sjuE,33524,477,31,1059,0.71
長尺,2025-10-07,今日からできる！腸活で10歳若返る超簡単アンチエイジング5選をプロが教えます。,https://www.youtube.com/watch?v=rTMJrBPWhlI,12908,191,15,678,0.27
長尺,2025-10-04,「7年風邪引いてません」腸活のプロが免疫力を上げた習慣５つ、伝授します。,https://www.youtube.com/watch?v=AeA2yAndSVA,17373,253,8,594,0.37
長尺,2025-09-30,【99%がやってしまう】腸活の落とし穴を5つ、プロが解説します,https://www.youtube.com/watch?v=7Z22O2Xl768,30286,376,11,939,0.64
長尺,2025-09-27,中野優作の腸内がヤバすぎた...働き続けられる理由を腸活のプロが徹底解説,https://www.youtube.com/watch?v=XOjHpeMguww,114463,324,24,1694,2.43
長尺,2025-09-23,「怖いですね...」腸活の専門家が絶対に食べない食品添加物5選,https://www.youtube.com/watch?v=LXdb40PRb-8,48987,727,18,802,1.04
長尺,2025-09-20,「毎日飲んでます」腸活を極めたプロが厳選した最強サプリ5選,https://www.youtube.com/watch?v=MLkAkPDZApU,123234,1221,70,960,2.62
長尺,2025-09-16,疲れやすい人必見！日々のパフォーマンスを劇的に上げる腸活法5選,https://www.youtube.com/watch?v=XxBa5MQbDTQ,49092,671,47,686,
長尺,2025-09-13,腸活を極めたプロが厳選！ダイエットに効く痩せ菌3選,https://www.youtube.com/watch?v=sptKHuMfdRE,17698,235,4,669,
長尺,2025-09-09,「ウコン・ヘパリーゼやめとけ」酒飲みすぎた人の二日酔い解消腸活術5選,https://www.youtube.com/watch?v=T4OgdJ48aYk,5321,50,2,640,
長尺,2025-09-06,「忙しくて寝る時間がない」それでも仕事の質を落とさない腸活術,https://www.youtube.com/watch?v=FxFgqvkZ_Hs,12400,227,2,974,
長尺,2024-05-31,【こばとも先生コラボ】赤ら顔で悩んでる方必見！酒さの症状・原因・改善法を完全解説！,https://www.youtube.com/watch?v=ekBMS6c46XA,33583,141,5,1086,
長尺,2024-04-26,【頭のフケ・かゆみ・抜け毛】頭皮悩みの原因と対策を徹底解説！,https://www.youtube.com/watch?v=F-Ez-HLsc5k,4090,89,1,634,
長尺,2024-03-15,【最強の健康食品】納豆の効能８選と選び方、10倍効果が出る食べ合わせまで納豆を完全解説します,https://www.youtube.com/watch?v=R1FrmwKeMEI,8941,173,10,730,
長尺,2024-03-08,【老化を遅める】根本的にターンオーバーを整える方法とおすすめのスキンケア,https://www.youtube.com/watch?v=B32WB1GCqRY,4188,59,3,410,
長尺,2024-03-06,【実は早すぎもNG】ターンオーバーの乱れとは？乱れる原因と肌の状態を解説します,https://www.youtube.com/watch?v=I4bSGJhbR0Q,2353,37,0,472,
長尺,2024-02-23,スキンケアだけじゃ甘い！？肌のくすみを改善するインナーケアと睡眠法を徹底解説！,https://www.youtube.com/watch?v=l_SU3Ouxi50,3100,76,9,495,
長尺,2024-02-21,【肌くすみの原因】この生活してる人は今すぐやめて！くすみ４種と腸内環境の関係,https://www.youtube.com/watch?v=WFF3prkPe4Q,2222,48,4,362,
長尺,2024-02-07,乾燥肌を治したいなら洗顔はやめて下さい。間違ったNG習慣と正しい対策方法,https://www.youtube.com/watch?v=F-QJOVgShLY,1571,39,5,576,
長尺,2024-02-05,【乾燥肌の方必見】乾燥肌になる意外な原因と､保湿ケアのポイントを解説します,https://www.youtube.com/watch?v=uTXgLc9STzs,2090,37,5,522,
長尺,2024-02-02,【生理前の不安イライラ対処法】PMS症状を和らげる4つの方法を解説します,https://www.youtube.com/watch?v=6XkJTBysheY,1707,30,0,538,
長尺,2024-01-31,生理前のつらい症状｢PMS(月経前症候群)｣について分かりやすく解説します,https://www.youtube.com/watch?v=1HFn1iIA6Sg,1236,20,4,665,
長尺,2024-01-29,【クレンジング革命】サラッと落ちて､お肌は保湿！？最新の原料を使ったオススメのクレンジングを紹介します,https://www.youtube.com/watch?v=IWVY3NvocIQ,2137,28,4,537,
長尺,2024-01-26,【肌荒れやすい方必見】原因は界面活性剤かも？身体への影響とシャンプーや洗顔料の正しい選び方を解説します,https://www.youtube.com/watch?v=DzCGAeWIgGY,2175,44,4,580,
長尺,2024-01-24,創業107年の味噌蔵で衝撃..！天然の麹菌を自家採取!? 無添加･自然栽培の味噌を作る｢マルカワみそ｣に密着取材しました！,https://www.youtube.com/watch?v=l8doGyrtx1g,1601,88,10,1561,
長尺,2024-01-22,偏頭痛の原因は〇〇だった！？今すぐできる治し方について解説します。,https://www.youtube.com/watch?v=ZsmJ6p_vhD0,2305,77,5,496,
長尺,2024-01-12,"野菜がおいしい！栄養を逃さない""蒸し料理""で糖化を防ぐ！絶対得する簡単レシピ✨",https://www.youtube.com/watch?v=mRY1_CyXr6M,1080,29,6,1320,
長尺,2024-01-10,失敗しない”ぬか漬け”の作り方。初めての｢ぬか床｣作りでよくある失敗と対策方法を解説します,https://www.youtube.com/watch?v=3P_KyaGiYGg,48156,1216,41,621,
長尺,2024-01-08,"【ぬか漬け】スーパー善玉菌""酪酸菌""が摂れる｢ぬか漬け｣の最強効果を菌の専門家が解説します。",https://www.youtube.com/watch?v=i6Le-YPNuP0,38632,748,26,554,
長尺,2024-01-05,【グルテンフリーは意味がない!?】グルテンを意識すべき人と､グルテンフリーの意外な落とし穴を解説します,https://www.youtube.com/watch?v=2cf76qui57I,207510,2569,97,587,
長尺,2024-01-03,【疲れやすい人必見】原因はグルテンかも？小麦が与える身体への影響とグルテンフリーのメリットを解説します,https://www.youtube.com/watch?v=vuEokLVLHFA,28331,279,8,393,
長尺,2024-01-02,【肥満や鬱は薬が原因?!】薬が与える身体への影響、薬以外での対処法を解説します【菌の専門家】,https://www.youtube.com/watch?v=zkSktGVO568,1089,46,1,417,
長尺,2024-01-01,【薬はタバコより危険?!】早稲田大学が研究！胃薬による腸内環境の悪化と影響、予防法を解説します【菌の専門家】,https://www.youtube.com/watch?v=dCHb5uU_M7o,1560,32,0,566,
長尺,2023-12-31,【肌の水分量1.4倍?!】美肌菌の増やし方と化粧品の選び方を紹介します！【菌の専門家が解説】,https://www.youtube.com/watch?v=vscjN8ok4IA,4338,88,0,382,
長尺,2023-12-30,毛穴目立ち･シワは｢美肌菌｣が原因？！美肌菌が肌に与える効果と菌の増やし方を解説します,https://www.youtube.com/watch?v=XfSzdBJd4uQ,2973,52,0,490,
長尺,2023-12-29,お茶の淹れ方・選び方／氷水出しで睡眠の質UP？！緑茶のカフェイン苦手な方は〇〇を飲んでください,https://www.youtube.com/watch?v=ZB0vnrL3AVg,6962,145,10,721,
長尺,2023-12-27,緑茶がもたらす8つの健康効果！緑茶うがいでインフルエンザを予防？！,https://www.youtube.com/watch?v=UD7WdwKXNP8,4461,77,5,623,
長尺,2023-12-25,"【茹でて和えるだけ】簡単おいしい ""ほうれん草とカブのきな粉ダレ和え""【老化予防レシピ?!】",https://www.youtube.com/watch?v=tJPf31ekrcU,745,20,1,645,
長尺,2023-12-22,【クレンジング徹底比較】肌の乾燥は〇〇が原因?! 正しい選び方＆おすすめクレンジングを紹介します【専門家が解説】,https://www.youtube.com/watch?v=P9u9J6AvVt0,235805,196,5,1197,
長尺,2023-12-20,老化予防はいい食事から?! 老化を防ぐ食材を使った｢鯖のホイル焼き｣【菌ケアキッチン】,https://www.youtube.com/watch?v=7fMU5v7UhMc,718,30,0,653,
長尺,2023-12-18,"【味噌は選び方が9割】正しい味噌の選び方と自然栽培×自然発酵の""最強味噌""を紹介します！",https://www.youtube.com/watch?v=2N2ZLfCiPck,11533,240,11,542,
長尺,2023-12-15,【スーパーフード味噌】がもたらす５つの健康効果を徹底解説,https://www.youtube.com/watch?v=AWO-tSQ_oSk,6087,109,10,561,
長尺,2023-12-13,インフルエンザ予防に｢ヨーグルトと緑茶｣が効果的？！免疫の老化を防ぐ食べ物・予防法を解説します,https://www.youtube.com/watch?v=oc7QfRIUbGk,4162,80,9,540,
長尺,2023-12-11,【インフルエンザ】が異例の爆増？今すぐできる感染対策･予防法を解説します,https://www.youtube.com/watch?v=4l82hXlBLuA,20403,208,10,524,
長尺,2023-12-08,"あの！廣田なおさんに｢菌ケア｣を伝授！""断食""のコツ＆腸内環境を整える食事法を解説します【初コラボ✨】",https://www.youtube.com/watch?v=9LjZgVuDSqc,34747,65,0,1152,
長尺,2023-12-06,【老化を防ぐ料理】抗酸化作用の食べ物を使った老化予防レシピ！カリフラワーとグレープフルーツのビタミンサラダ【菌の専門家監修】,https://www.youtube.com/watch?v=_aUZC6rHNMI,884,21,0,742,
長尺,2023-12-04,【老化予防レシピ】野菜の王様｢ケール｣を使用したオムレツの作り方【菌の専門家監修】,https://www.youtube.com/watch?v=Oh6pwydvLLU,1165,25,1,772,
長尺,2023-12-01,便秘解消＆腸活レシピ｜濃厚豆乳春雨スープの作り方【菌の専門家監修】,https://www.youtube.com/watch?v=B-ZvYaveUwg,1815,59,1,1110,
長尺,2023-11-29,【納豆✖️キムチ】効果10倍？糖化菌･乳酸菌･デンプンが一度に取れる最強レシピ,https://www.youtube.com/watch?v=xsytECoucwg,192415,1542,59,427,
長尺,2023-11-27,肌の老化原因｢糖化｣を抑える物質｢アミノグアニジン｣とは？肌の老化を防ぐ習慣･食事を徹底解説【菌の専門家が解説】,https://www.youtube.com/watch?v=A_oyAx5GWMc,20787,387,10,597,
長尺,2023-11-24,肌の老化は｢糖化｣が原因？肌のシミ･しわ･たるみの予防と改善法を徹底解説,https://www.youtube.com/watch?v=G4SF-EITfVE,8684,128,0,636,
長尺,2023-11-22,【体臭に悩む人へ】体臭予防にボディソープはNG?! 体臭改善＆対策法を徹底解説,https://www.youtube.com/watch?v=AvhX8hb4-pk,29349,461,8,445,
