区分,タイトル,URL,CH名,登録者数,再生数,倍率,公開日,尺(秒),型,ヒットKW,軸,期間,言語,サムネURL
主枠,【さつまいもでコレ絶対やって！】切って焼くだけ揚げずに簡単な腸活おさつポテト！さくさくやみつき食感でサツマイモ大量消費,https://www.youtube.com/watch?v=q0V2YkabCfw,リツの健康飯,110000,1339901,12.18,2025-10-25,248,レシピ・料理型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/q0V2YkabCfw/maxresdefault.jpg
主枠,【必見】糖尿病リスクを爆上げする危険な食べ物5選〜薬に頼らず血糖値を下げる最強の習慣〜,https://www.youtube.com/watch?v=MzuB4eYE_Vg,理学療法士監修 一生役立つカラダの教科書,560,5855,10.46,2025-12-21,1085,専門家の解説型,白米 血糖値 対策,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/MzuB4eYE_Vg/maxresdefault.jpg
主枠,【空腹時血糖値180→98】ヨーグルト+⚪︎⚪︎⚪︎⚪︎⚪︎⚪︎が糖尿病をよくする理由【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=8VD8jwklTmA,糖尿病の専門家,218000,2067833,9.49,2025-09-06,1169,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/8VD8jwklTmA/maxresdefault.jpg
主枠,【知らないと損】シナモンは「この食べ方」で効果10倍！血糖値・血管・腸を守る最強の組み合わせ3選 | 生活の知恵,https://www.youtube.com/watch?v=_d9JMKzj6Mo,野菜と健康の知恵,1670,15733,9.42,2026-08-02,1824,専門家の解説型,スパイス 腸内環境,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/_d9JMKzj6Mo/maxresdefault.jpg
主枠,【朝1個食べるだけ】寝起きにコレを食べたらスルスル体重・体脂肪・血糖値が落ちました【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=0MeYZ3q4n5o,糖尿病の専門家,218000,2042658,9.37,2026-01-10,950,専門家の解説型,白米 血糖値 対策 / 血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/0MeYZ3q4n5o/maxresdefault.jpg
主枠,ブルーベリーを続けても無駄？白髪と視力が変わった最強の粉3選｜数値で判明した若返りの正体【60歳からの健康習慣】,https://www.youtube.com/watch?v=YDmKwOWQxIQ,健康寿命を伸ばす ご長寿チャンネル,3620,32891,9.09,2026-03-02,1183,専門家の解説型,スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/YDmKwOWQxIQ/maxresdefault.jpg
主枠,「買わなきゃ損」腸活を極めたプロのおすすめ無印良品食品6選が美味しすぎた,https://www.youtube.com/watch?v=4Zsk228DWM4,【下川先生】の菌ケア大学,68500,608437,8.88,2025-11-01,796,専門家の解説型,スパイス 腸内環境 / 腸活 レシピ,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/4Zsk228DWM4/maxresdefault.jpg
主枠,【50代以降】ブルーベリー毎日食べたら大変なことになりました【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=yw6risIbKh4,糖尿病の専門家,218000,1474236,6.76,2025-10-04,1162,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/yw6risIbKh4/maxresdefault.jpg
主枠,【保存版】ブルーベリーは古い？40代から白髪と視力が劇的に若返る「3つの最強パウダー」とは【誰かに話したくなる健康雑学】,https://www.youtube.com/watch?v=aE14gR07Rbs,そろそろ気になる雑学【健康雑学】,49100,317215,6.46,2026-02-10,622,専門家の解説型,スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/aE14gR07Rbs/maxresdefault.jpg
主枠,【血糖値の新常識】糖質を恐れなくていい！血糖値を安定させる3つの要因と耐糖能を高める食事法を解説,https://www.youtube.com/watch?v=AqBaJi01AkU,れんのYouTube栄養大学,17900,105999,5.92,2026-05-20,2142,専門家の解説型,白米 血糖値 対策 / 血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/AqBaJi01AkU/maxresdefault.jpg
主枠,【若返り】ブルーベリーの48倍白髪と視力が劇的に若返る！40歳以降の老化が止まる最強パウダー3選!【老化防止・視力回復・認知機能・頭皮改善】,https://www.youtube.com/watch?v=ngmyTELKg-o,ひろよ・美齢活の専門家,9300,54287,5.84,2026-04-11,906,専門家の解説型,スパイス 腸内環境,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/ngmyTELKg-o/maxresdefault.jpg
主枠,【衝撃】きな粉の◯◯の組み合わせが若返りにすごい効果！白髪が減り、血管・歯茎も若返る本当の使い方!【アンチエイジング】,https://www.youtube.com/watch?v=PCAxTmHE7-U,ありんこ先生・美活の専門家,57200,332298,5.81,2026-05-30,1586,専門家の解説型,ターメリック 効果,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/PCAxTmHE7-U/maxresdefault.jpg
主枠,【血糖値・HbA1cが下がる!?】現役医師推薦の食べた方がいいフルーツTOP5【糖尿病専門クリニック内科医】,https://www.youtube.com/watch?v=3Ev0AWSK7kE,糖尿病の専門家,218000,1206762,5.54,2025-09-20,1125,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/3Ev0AWSK7kE/maxresdefault.jpg
主枠,コーヒーにこの粉を加えるだけで驚くべき効果が！40歳の頃のように歩ける！足腰が劇的に若返る飲み方【食で長生き】,https://www.youtube.com/watch?v=2WYo3YydRqo,食で長生き【60歳からの正しい食生活】,54000,284582,5.27,2026-01-22,1354,専門家の解説型,ターメリック 効果,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/2WYo3YydRqo/maxresdefault.jpg
主枠,「毎日食べてます」腸活を極めたプロが厳選した1日のフル食を大公開！,https://www.youtube.com/watch?v=fpAnuNrRW6E,【下川先生】の菌ケア大学,68500,350009,5.11,2025-10-21,986,専門家の解説型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/fpAnuNrRW6E/maxresdefault.jpg
主枠,【医師が驚愕】「毎日たった2粒で体が若返る!?知らないと損するクローブの真実」,https://www.youtube.com/watch?v=d8vPEYssX7k,ペンタのおとな健康大学 [中高年の悩み解決],16500,78424,4.75,2026-04-07,495,専門家の解説型,スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/d8vPEYssX7k/maxresdefault.jpg
主枠,シニア世代の方へ：ターメリックと一緒に食べてはいけない3つの食品とは？｜健康寿命,https://www.youtube.com/watch?v=4Lc4-8e7syE,老後のやすらぎ,943,4403,4.67,2025-10-16,1151,専門家の解説型,ターメリック 効果,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/4Lc4-8e7syE/maxresdefault.jpg
主枠,52歳・68kg→58kgに変わったKさんの秘密→ヨーグルトに「小さじ1杯」足すだけ。痩せホルモンが2倍になる黄金レシピTOP5【スーパー食材のみ】,https://www.youtube.com/watch?v=QPofD-xkdHI,たくみ先生 | 40代からの食べやせ教室,192000,848692,4.42,2026-03-09,1213,専門家の解説型,クミン 効果 / 腸活 レシピ,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/QPofD-xkdHI/maxresdefault.jpg
主枠,驚愕！たった2粒のクローブで7日後に体が別人に！？高齢者必見！,https://www.youtube.com/watch?v=Ff54KBHXb60,シニアの知恵袋,18900,72232,3.82,2025-09-12,1724,専門家の解説型,スパイス 効果 健康 / ターメリック 効果,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/Ff54KBHXb60/maxresdefault.jpg
主枠,手軽なスパイスの驚くべき健康効果,https://www.youtube.com/watch?v=YZLNmlJhL_E,平岳大のハリウッド・ノート,15600,58467,3.75,2026-08-14,832,専門家の解説型,スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/YZLNmlJhL_E/maxresdefault.jpg
主枠,みんな大好き⁉カレーライスで血糖測定検証をしてみました😊,https://www.youtube.com/watch?v=YfZf1E53v4s,糖尿どんぶりかあさん,291,1031,3.54,2026-04-27,472,レシピ・料理型,カレー 血糖値,カレー軸,1年以内,ja,https://i.ytimg.com/vi/YfZf1E53v4s/maxresdefault.jpg
主枠,【腸活ダイエット】食物繊維たっぷり！簡単５分でデトックスえのきわかめ,https://www.youtube.com/watch?v=tKCBooTbZWQ,調理師ゆめ子のこだわりレシピ,130000,453612,3.49,2025-10-19,221,レシピ・料理型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/tKCBooTbZWQ/maxresdefault.jpg
主枠,【知らなきゃ損】睡眠改善して血糖値・HbA1c・体重が下がる!?夜にヨーグルトを食べるとこうなります【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=gWcpsGrltNo,糖尿病の専門家,218000,751287,3.45,2026-07-18,1021,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/gWcpsGrltNo/maxresdefault.jpg
主枠,【正直うまい】すき家のチキンカレーって実際どう？食べてみた結果…,https://www.youtube.com/watch?v=hjQVccC7ZeA,ながちゃんグルメ,716,2415,3.37,2026-04-04,384,レシピ・料理型,カレールー 比較,カレー軸,1年以内,ja,https://i.ytimg.com/vi/hjQVccC7ZeA/maxresdefault.jpg
主枠,玄米 vs 押し麦 vs もち麦。結局、血糖値に一番良いのはどれ？【リブレ検証】,https://www.youtube.com/watch?v=f3iMWyQhMtI,糖尿病おじさんの食卓,6550,21117,3.22,2025-10-08,939,レシピ・料理型,白米 血糖値 対策,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/f3iMWyQhMtI/maxresdefault.jpg
主枠,【それ丁寧な暮らし?】血糖値・HbA1cを爆上げします！【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=nHMuut_1Ons,糖尿病の専門家,218000,695637,3.19,2025-10-25,1352,専門家の解説型,カレー 健康 / カレー 血糖値 / 白米 血糖値 対策 / 血糖値 上げない 食べ方,カレー軸,1年以内,ja,https://i.ytimg.com/vi/nHMuut_1Ons/maxresdefault.jpg
主枠,朝コーヒーに混ぜるだけ！血糖値やHbA1cがどんどん下がるだけでなく、内臓脂肪減少にも効果テキメンな最強の食べ物５選【糖尿病・肥満予防】,https://www.youtube.com/watch?v=VeSLpSKmHLs,管理栄養士が教える健康的な習慣チャンネル,78400,247851,3.16,2026-01-14,1317,専門家の解説型,カレー 血糖値 / 血糖値 上げない 食べ方,カレー軸,1年以内,ja,https://i.ytimg.com/vi/VeSLpSKmHLs/maxresdefault.jpg
主枠,【レビュー】激辛レトルトカレー8品を食べ比べ！辛すぎて食べれない！？【ずんだもん解説】,https://www.youtube.com/watch?v=cqcUQw_sawo,かけそば【ずんだもん-食の情報】,88400,239769,2.71,2026-04-20,1956,専門家の解説型,カレールー 比較,カレー軸,1年以内,ja,https://i.ytimg.com/vi/cqcUQw_sawo/maxresdefault.jpg
主枠,【レンチン3分】腸活力9倍！砂糖・小麦不使用、切って混ぜるだけのさつまいもりんご蒸しパン,https://www.youtube.com/watch?v=n852YSudHmc,糖質オフ専門・いずみの太らない食生活,322000,849507,2.64,2025-10-08,809,レシピ・料理型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/n852YSudHmc/maxresdefault.jpg
主枠,【HbA1c爆上げ↑↑】糖尿病不可避！血糖値を底上げしてしまう最悪の朝食【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=4FkmCs4iVgM,糖尿病の専門家,218000,565168,2.59,2025-10-18,1021,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/4FkmCs4iVgM/maxresdefault.jpg
主枠,美容院は教えない。トマトジュースに「これ」混ぜるだけで効果が10倍に。白髪と薄毛が99％黒髪に生まれ変わる最強の飲み方。（腸活・血圧改善にも効果大）,https://www.youtube.com/watch?v=MEqQovombDg,プロの裏技TV,29400,75891,2.58,2025-09-28,1203,レシピ・料理型,ターメリック 効果,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/MEqQovombDg/maxresdefault.jpg
主枠,【なぜ？体重/HbA1cがストンと落ちる】ダイエット・血糖コントロールにいい食品/食べ物【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=QN6uD6f4ijE,糖尿病の専門家,218000,556802,2.55,2025-11-08,1017,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/QN6uD6f4ijE/maxresdefault.jpg
主枠,老後健康：60代から脳と筋肉が目覚める 最強スパイス＆食材7選｜医師が警告,https://www.youtube.com/watch?v=wTUS46iPQEc,老後健康,26700,67347,2.52,2026-02-07,1663,専門家の解説型,スパイス 効果 健康 / スパイスカレー 健康,カレー軸,1年以内,ja,https://i.ytimg.com/vi/wTUS46iPQEc/maxresdefault.jpg
主枠,冷え・老化防止に最強な有名スーパーのシナモン。買っていいのはどっち？60代からの正しい選び方と許容量はどれくらい？【食で長生き】,https://www.youtube.com/watch?v=8R-0mmsxuPM,食で長生き【60歳からの正しい食生活】,54000,133597,2.47,2026-03-20,1132,専門家の解説型,スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/8R-0mmsxuPM/maxresdefault.jpg
主枠,【衝撃】「発酵食品＝腸活」は時代遅れ！？全日本人がやるべき『本当の腸活』を医師が解説：七合診療所 所長 本間 真二郎,https://www.youtube.com/watch?v=chkEywJIfko,ヘルスアカデミー公式YTチャンネル,294000,724461,2.46,2025-09-16,858,専門家の解説型,スパイス 効果 健康 / スパイス 腸内環境 / 腸活 レシピ,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/chkEywJIfko/maxresdefault.jpg
主枠,【バターチキンカレー】このレシピ知ったら市販品に戻れなくなります,https://www.youtube.com/watch?v=KUbxAewqNk8,ドラゴンキッチン,100000,240922,2.41,2026-01-17,337,レシピ・料理型,カレー粉,カレー軸,1年以内,ja,https://i.ytimg.com/vi/KUbxAewqNk8/maxresdefault.jpg
主枠,【レビュー】激安レトルトカレーを食べ比べ！半分以上マズい！？【ずんだもん解説】,https://www.youtube.com/watch?v=FF1xccHfW78,かけそば【ずんだもん-食の情報】,88400,210690,2.38,2025-12-08,1722,専門家の解説型,カレールー 比較,カレー軸,1年以内,ja,https://i.ytimg.com/vi/FF1xccHfW78/maxresdefault.jpg
主枠,【糖尿病】ベジファーストはもう古い！？食べる順番を変えるだけで血糖値が劇的に下がる「新常識」を専門医が解説,https://www.youtube.com/watch?v=oh3lDzbq88k,糖尿病専門医 よしの内科クリニック,41400,87562,2.12,2026-02-14,912,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/oh3lDzbq88k/maxresdefault.jpg
主枠,【食べたら糖尿病まっしぐら】血糖値・HbA1cが悪化する食べ物【現役糖尿病内科医】,https://www.youtube.com/watch?v=KKheuI-eaRY,血糖おじさんのセルフ治療,468000,986248,2.11,2025-10-11,627,専門家の解説型,カレー 血糖値 / 血糖値 上げない 食べ方,カレー軸,1年以内,ja,https://i.ytimg.com/vi/KKheuI-eaRY/maxresdefault.jpg
主枠,【ピーマンでコレ絶対やって！】簡単5分腸活にも良い！作り置き大量消費レシピ,https://www.youtube.com/watch?v=rFWexxKiuWw,リツの健康飯,110000,219910,2.00,2025-09-28,225,レシピ・料理型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/rFWexxKiuWw/maxresdefault.jpg
主枠,【痩せるコンビニおやつ!?】私が-20kgのダイエットした体重をキープするために食べている罪悪感ゼロの太らないお菓子10選【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=3cN809Xdpg0,糖尿病の専門家,218000,427788,1.96,2026-01-03,780,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/3cN809Xdpg0/maxresdefault.jpg
主枠,"【インナーケア】おすすめ食材からサプリまで✨皮膚の変態が続けてきた""美肌のための食事""を大公開👀これだけは摂って！【大野真理子】",https://www.youtube.com/watch?v=ERWPlBWpqc8,【美容家 | 皮膚の変態】大野真理子のご一緒よろしいですか,153000,294609,1.93,2025-11-15,849,専門家の解説型,スパイス 腸内環境,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/ERWPlBWpqc8/maxresdefault.jpg
主枠,にんじんクリームチキンカレー,https://www.youtube.com/watch?v=LM26WCFV7Nc,長谷川あかり,265000,416248,1.57,2026-07-23,1206,レシピ・料理型,カレー粉,カレー軸,1年以内,ja,https://i.ytimg.com/vi/LM26WCFV7Nc/maxresdefault.jpg
主枠,【腸内環境改善】痩せたければこのSラインのものを摂ってください【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=b5PqchU6K0A,糖尿病の専門家,218000,320372,1.47,2026-07-04,1095,専門家の解説型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/b5PqchU6K0A/maxresdefault.jpg
主枠,【9割が知らない】血糖値を爆上げてしまう本当の原因【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=LaKlCPjTKpo,糖尿病の専門家,218000,318125,1.46,2026-01-24,962,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/LaKlCPjTKpo/maxresdefault.jpg
主枠,【材料3つ】混ぜるだけの最強腸活。内臓脂肪減少・高血圧・生活習慣病・コレステロールにも◎腸活効果をさらに高める乳酸菌アレンジメニューもご紹介します。,https://www.youtube.com/watch?v=-mePkrlebL8,糖質オフ専門・いずみの太らない食生活,322000,432152,1.34,2026-03-06,783,専門家の解説型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/-mePkrlebL8/maxresdefault.jpg
主枠,【身近なのに】食べた方が血糖値・HbA1cにいいおやつ・お菓子【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=ma3pgfjLyxY,糖尿病の専門家,218000,280329,1.29,2025-09-27,999,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/ma3pgfjLyxY/maxresdefault.jpg
主枠,薬味たっぷり出汁カレー,https://www.youtube.com/watch?v=TugIH6TeKKI,長谷川あかり,265000,339115,1.28,2026-04-23,1385,レシピ・料理型,カレー粉,カレー軸,1年以内,ja,https://i.ytimg.com/vi/TugIH6TeKKI/maxresdefault.jpg
主枠,【2000人が便秘薬卒業】3日で宿便3kgドバドバ出す！最強の腸内洗浄食材TOP5,https://www.youtube.com/watch?v=7xdqK3ejl3c,たくみ先生 | 40代からの食べやせ教室,192000,231431,1.21,2026-02-15,966,専門家の解説型,スパイス 腸内環境 / 腸活 レシピ,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/7xdqK3ejl3c/maxresdefault.jpg
主枠,【切って混ぜるだけ】野菜を食べる万能常備菜。内臓脂肪減少・腸活・高血圧・生活習慣病・コレステロールにも◎,https://www.youtube.com/watch?v=Ip45UzCHeJE,糖質オフ専門・いずみの太らない食生活,322000,382004,1.19,2026-08-20,580,レシピ・料理型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/Ip45UzCHeJE/maxresdefault.jpg
主枠,【食後に簡単】血糖値を下げる運動🍚立ったままできる全身トレーニング﻿ #459,https://www.youtube.com/watch?v=faMgtWUAgsg,カーディオ ワークアウト / Cardio Workout,223000,246201,1.10,2026-04-29,442,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/faMgtWUAgsg/maxresdefault.jpg
主枠,甘いおやつを食べながらHbA1cが下がった人はコレを食べてました【現役糖尿病内科医】,https://www.youtube.com/watch?v=tojToiG17BY,血糖おじさんのセルフ治療,468000,503842,1.08,2025-09-06,812,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/tojToiG17BY/maxresdefault.jpg
主枠,血糖値スパイクで爆睡が止まらないと悩むスバルに、ガチの医療従事者や糖尿病ニキから警告をもらい衝撃の事実に気付くホワるとスバ友ｗ雑談面白まとめ【大空スバル/ホロライブ/切り抜き】,https://www.youtube.com/watch?v=tpjMsYiVtJA,ほろおん!【ホロライブ観測所】,24400,615103,25.21,2024-11-29,624,専門家の解説型,カレー 血糖値,カレー軸,1〜2年(補完),ja,https://i.ytimg.com/vi/tpjMsYiVtJA/maxresdefault.jpg
主枠,カレーのルー、ランキング,https://www.youtube.com/watch?v=8dVyVgMley8,いらすとニュースチャンネル,174,3732,21.45,2025-07-05,198,専門家の解説型,カレールー 比較,カレー軸,1〜2年(補完),ja,https://i.ytimg.com/vi/8dVyVgMley8/maxresdefault.jpg
主枠,【腎臓病保存期の方向け】栄養士が教える！カリウム・塩分控えめでも美味しいカレーライスレシピ｜× 管理栄養士ファンデリー #料理 #腎臓病,https://www.youtube.com/watch?v=9k5budgRz60,透析病院ドットコム,16200,335745,20.73,2025-05-30,325,専門家の解説型,カレー 健康,カレー軸,1〜2年(補完),ja,https://i.ytimg.com/vi/9k5budgRz60/maxresdefault.jpg
主枠,基本のスパイスカレーの作り方【初級編】【永久保存版】,https://www.youtube.com/watch?v=dVw-xjhEj5c,YUKI / Spice Life,1780,17321,9.73,2024-10-01,1506,レシピ・料理型,スパイスカレー 健康,カレー軸,1〜2年(補完),ja,https://i.ytimg.com/vi/dVw-xjhEj5c/maxresdefault.jpg
主枠,老化した細胞を若返らせる!? 日々の疲れを癒す魔法のスパイス10選を大公開！【最新研究】,https://www.youtube.com/watch?v=BmmbQZ_c8F8,なんでも健康雑学【手軽に勉強】,592,5651,9.55,2024-10-23,709,専門家の解説型,クミン 効果 / スパイス 効果 健康,スパイス軸,1〜2年(補完),ja,https://i.ytimg.com/vi/BmmbQZ_c8F8/maxresdefault.jpg
主枠,【王道レトルトカレー食べ比べ】新ルール！パッケージ見ないで試食したら波乱！,https://www.youtube.com/watch?v=B8TDiAokb3E,さまぁ〜ずチャンネル,1100000,1122495,1.02,2025-05-30,1644,レシピ・料理型,カレールー 比較,カレー軸,1〜2年(補完),ja,https://i.ytimg.com/vi/B8TDiAokb3E/maxresdefault.jpg
