区分,タイトル,URL,CH名,登録者数,再生数,倍率,公開日,尺(秒),型,ヒットKW,軸,期間,言語,サムネURL
主枠,【食事術】午後の眠気を抑える食事法を専門医が伝授！,https://www.youtube.com/watch?v=GiMScQLKDws,dヘルスケア公式,10800,87175,8.07,2025-11-27,1395,対策・やめ方型,血糖値スパイク 眠気,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/GiMScQLKDws/maxresdefault.jpg
主枠,【専門医解説】あなたは大丈夫？眠気･だるさの原因 ｢血糖値スパイク｣とは？動脈硬化・心筋梗塞・脳梗塞リスクも…【ノンストップ！サミット】,https://www.youtube.com/watch?v=dhGyVFQfdPE,ノンストップ!公式ch.,26400,165629,6.27,2026-04-10,2008,原因・メカニズム解説型,血糖値スパイク 眠気,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/dhGyVFQfdPE/maxresdefault.jpg
主枠,【血糖値・HbA1cが下がる!?】現役医師推薦の食べた方がいいフルーツTOP5【糖尿病専門クリニック内科医】,https://www.youtube.com/watch?v=3Ev0AWSK7kE,糖尿病の専門家,218000,1206762,5.54,2025-09-20,1125,原因・メカニズム解説型,3時のおやつ 血糖値,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/3Ev0AWSK7kE/maxresdefault.jpg
主枠,「毎日食べてます」腸活を極めたプロが厳選した1日のフル食を大公開！,https://www.youtube.com/watch?v=fpAnuNrRW6E,【下川先生】の菌ケア大学,68500,350009,5.11,2025-10-21,986,対策・やめ方型,痩せ菌 増やす / 短鎖脂肪酸,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/fpAnuNrRW6E/maxresdefault.jpg
主枠,【10㎏痩せた】食欲が一瞬で消える5つの方法✨これで爆食止まった！,https://www.youtube.com/watch?v=nF98kkKpO-E,ぷに.産後−10kgのゆる痩せごはん,871,4087,4.69,2026-04-15,297,対策・やめ方型,食欲 抑える 方法,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/nF98kkKpO-E/maxresdefault.jpg
主枠,アメリカで大流行「糖尿病コーヒー」…若者の健康がヤバい|| 見ているだけで血糖値が..,https://www.youtube.com/watch?v=ZPYOpU7XH2g,地獄海外難民サブch,96000,444135,4.63,2025-11-30,545,原因・メカニズム解説型,砂糖 中毒,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/ZPYOpU7XH2g/maxresdefault.jpg
主枠,52歳・68kg→58kgに変わったKさんの秘密→ヨーグルトに「小さじ1杯」足すだけ。痩せホルモンが2倍になる黄金レシピTOP5【スーパー食材のみ】,https://www.youtube.com/watch?v=QPofD-xkdHI,たくみ先生 | 40代からの食べやせ教室,192000,848692,4.42,2026-03-09,1213,対策・やめ方型,痩せ菌 増やす,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/QPofD-xkdHI/maxresdefault.jpg
主枠,【四毒抜き】甘いものがやめられなかった私が依存から抜け出せた理由,https://www.youtube.com/watch?v=ybXaDlOi4p8,ミニマリスト ぬん,2670,10067,3.77,2026-02-07,544,原因・メカニズム解説型,甘いもの やめられない,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/ybXaDlOi4p8/maxresdefault.jpg
主枠,なぜアメリカ人は、糖分に「支配」されているのか【ゆっくり解説】,https://www.youtube.com/watch?v=aEuYvtbjQcU,ゆっくり台所研究所,24500,90051,3.68,2026-05-01,726,原因・メカニズム解説型,砂糖 中毒,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/aEuYvtbjQcU/maxresdefault.jpg
主枠,ガス腹、ニキビ、アトピー、体の痛みが消える「低シュウ酸ダイエット」のやり方,https://www.youtube.com/watch?v=scUMmNmTtuc,"小伝馬子のgut, me & biohack",101000,331696,3.28,2026-01-09,1347,対策・やめ方型,短鎖脂肪酸,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/scUMmNmTtuc/maxresdefault.jpg
主枠,アメリカでカフェイン中毒が爆増…若者の身体が壊れ始めている,https://www.youtube.com/watch?v=Kp0d_xwWBrU,地獄海外難民サブch,96000,274426,2.86,2026-01-23,675,原因・メカニズム解説型,砂糖 中毒,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/Kp0d_xwWBrU/maxresdefault.jpg
主枠,【衝撃】「発酵食品＝腸活」は時代遅れ！？全日本人がやるべき『本当の腸活』を医師が解説：七合診療所 所長 本間 真二郎,https://www.youtube.com/watch?v=chkEywJIfko,ヘルスアカデミー公式YTチャンネル,294000,724461,2.46,2025-09-16,858,原因・メカニズム解説型,痩せ菌 増やす / 短鎖脂肪酸 / 腸内細菌 食欲 / 腸脳相関,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/chkEywJIfko/maxresdefault.jpg
主枠,【健康食だと思ったのに】糖尿病になるおやつ!?現役医師が教える危ないお菓子【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=Sz00wDO2hho,糖尿病の専門家,220000,517807,2.35,2026-06-20,916,原因・メカニズム解説型,3時のおやつ 血糖値,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/Sz00wDO2hho/maxresdefault.jpg
主枠,アメリカ人がデブになる本当の理由は？砂糖中毒とその裏にある巨大ビジネス,https://www.youtube.com/watch?v=XlWG6pEnrmo,パジメ | Pajime,113000,262418,2.32,2025-12-05,977,原因・メカニズム解説型,sugar addiction / 砂糖 中毒 / 糖質依存,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/XlWG6pEnrmo/maxresdefault.jpg
主枠,【たった一口でも危険!?】腎臓・糖尿病・がんのリスクを高める食品添加物5選【現役医師解説】,https://www.youtube.com/watch?v=_zO5O4dkeW8,キャスティングドクター,14300,31576,2.21,2026-07-04,1667,原因・メカニズム解説型,人工甘味料 危険,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/_zO5O4dkeW8/maxresdefault.jpg
主枠,【痩せるコンビニおやつ!?】私が-20kgのダイエットした体重をキープするために食べている罪悪感ゼロの太らないお菓子10選【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=3cN809Xdpg0,糖尿病の専門家,218000,427788,1.96,2026-01-03,780,対策・やめ方型,3時のおやつ 血糖値,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/3cN809Xdpg0/maxresdefault.jpg
主枠,【身近なのに】食べた方が血糖値・HbA1cにいいおやつ・お菓子【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=ma3pgfjLyxY,糖尿病の専門家,218000,280329,1.29,2025-09-27,999,原因・メカニズム解説型,3時のおやつ 血糖値,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/ma3pgfjLyxY/maxresdefault.jpg
主枠,【2000人が便秘薬卒業】3日で宿便3kgドバドバ出す！最強の腸内洗浄食材TOP5,https://www.youtube.com/watch?v=7xdqK3ejl3c,たくみ先生 | 40代からの食べやせ教室,192000,231431,1.21,2026-02-15,966,対策・やめ方型,痩せ菌 増やす,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/7xdqK3ejl3c/maxresdefault.jpg
主枠,甘味料ランキング20（研究論文ベース）体に悪い順に解説！,https://www.youtube.com/watch?v=Xzc7BRq9tZU,"小伝馬子のgut, me & biohack",101000,101774,1.01,2026-03-13,1332,原因・メカニズム解説型,人工甘味料 危険,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/Xzc7BRq9tZU/maxresdefault.jpg
主枠,前編【てぃ先生×新田さちか×國澤純先生】間違った腸活を正す「シン・腸活」！キーワードは酪酸菌につなぐ「菌のリレー」,https://www.youtube.com/watch?v=NfNU1Z5-y00,健康サイト(アリナミン製薬)【公式】,1410,105442,74.78,2025-03-31,959,対策・やめ方型,短鎖脂肪酸,腸・菌軸,1〜2年(補完),ja,https://i.ytimg.com/vi/NfNU1Z5-y00/maxresdefault.jpg
主枠,【運動ムリでも痩せたい】40代女性が“GLP-1ダイエット”に初挑戦!! “本気の3ヶ月”に密着！ 医師監修のメディカルダイエットとは？ 甘木第一クリニック,https://www.youtube.com/watch?v=Cgz7maRoKZE,医療法人甘木第一クリニック,1660,103732,62.49,2025-04-03,2276,原因・メカニズム解説型,GLP-1 食欲抑制,血糖・甘味料軸,1〜2年(補完),ja,https://i.ytimg.com/vi/Cgz7maRoKZE/maxresdefault.jpg
主枠,窪塚洋介と直感力／頭で考えるから悩む／腸が整うと運命も変えられる？／腸が第一の脳、脳はその次／腸が感じる直感に従え／金より「菌」を貯めろ！【MC奥井奈々】,https://www.youtube.com/watch?v=U-d2z93j2hE,ウェルナビアイ,5860,223653,38.17,2024-12-02,1072,原因・メカニズム解説型,腸脳相関,腸・菌軸,1〜2年(補完),ja,https://i.ytimg.com/vi/U-d2z93j2hE/maxresdefault.jpg
主枠,【雑学】3週間で別人レベルに痩せる習慣15選,https://www.youtube.com/watch?v=Lt1GYcgqvkA,雑学のチカラ,25100,289572,11.54,2025-08-03,1517,対策・やめ方型,食欲 抑える 方法,欲求・依存軸,1〜2年(補完),ja,https://i.ytimg.com/vi/Lt1GYcgqvkA/maxresdefault.jpg
主枠,【有益スレ】やせたいけど食べたい！食べたいけど痩せたい！我慢できない食欲に打ち勝つ方法教えて！【ゆっくり解説】,https://www.youtube.com/watch?v=vsL2fX0BLIU,がるちゃん健康・美容ダイエットまとめ,8010,74011,9.24,2024-11-06,1611,対策・やめ方型,食欲 抑える 方法,欲求・依存軸,1〜2年(補完),ja,https://i.ytimg.com/vi/vsL2fX0BLIU/maxresdefault.jpg
主枠,【注意】突然死のリスク｢血糖値スパイク｣防ぐ方法は？効果的な“食材”と“食べる順番”【サン！シャインニュース】,https://www.youtube.com/watch?v=3ZcsPQWjNE8,サン!シャイン公式ch.,239000,1118139,4.68,2025-06-17,1154,原因・メカニズム解説型,血糖値スパイク 眠気,血糖・甘味料軸,1〜2年(補完),ja,https://i.ytimg.com/vi/3ZcsPQWjNE8/maxresdefault.jpg
主枠,【糖尿病専門医解説】甘い間食には血糖値を上げない食べ方があった！,https://www.youtube.com/watch?v=pYDcbOsuzDs,糖尿病専門医 よしの内科クリニック,41400,179272,4.33,2025-01-14,802,原因・メカニズム解説型,3時のおやつ 血糖値 / 間食 やめる方法,欲求・依存軸,1〜2年(補完),ja,https://i.ytimg.com/vi/pYDcbOsuzDs/maxresdefault.jpg
主枠,【2025年最新版】ガチで痩せる市販薬・サプリはどれ!? 医師が飲みながら徹底解説します！【第2弾】,https://www.youtube.com/watch?v=D85bUJZpb-U,マンジャロ先生 | Dr.ケンシン 廣川健信 | Withオンラインクリニック(つくばケン),28900,68350,2.37,2024-10-11,1534,原因・メカニズム解説型,GLP-1 食欲抑制,血糖・甘味料軸,1〜2年(補完),ja,https://i.ytimg.com/vi/D85bUJZpb-U/maxresdefault.jpg
主枠,肝臓を壊す最大の毒／テレビじゃ言えない／3人に1人が脂肪肝／お酒を飲まない・痩せの脂肪肝が急増中／肝臓は健康の肝心要／脂肪肝にならない＆治す方法／体重を7％減らせ／20代の肝臓を取り戻す【健康新常識】,https://www.youtube.com/watch?v=6Sqfr2us9ts,PIVOT 公式チャンネル,4070000,9204260,2.26,2025-06-22,2670,対策・やめ方型,短鎖脂肪酸,腸・菌軸,1〜2年(補完),ja,https://i.ytimg.com/vi/6Sqfr2us9ts/maxresdefault.jpg
主枠,【午後を快適に🌞】眠気に効く！血糖値を下げる昼食後の有酸素運動﻿ #423,https://www.youtube.com/watch?v=gXCarcKG5mo,カーディオ ワークアウト / Cardio Workout,224000,230335,1.03,2025-08-20,792,原因・メカニズム解説型,血糖値スパイク 眠気,血糖・甘味料軸,1〜2年(補完),ja,https://i.ytimg.com/vi/gXCarcKG5mo/maxresdefault.jpg
参考枠,14 Days to END Sugar Cravings Forever 🛑✨,https://www.youtube.com/watch?v=dIX_3yF3ts4,Your Daily Reset,322,24479,76.02,2025-10-19,467,原因・メカニズム解説型,stop sugar cravings,参考枠(英語),-,en,https://i.ytimg.com/vi/dIX_3yF3ts4/maxresdefault.jpg
参考枠,Where to Inject for MAXIMUM GLP-1 Weight Loss | What the Data Shows,https://www.youtube.com/watch?v=FGQL32Zw0Qk,Dr. Mohammed Paika,6830,74904,10.97,2026-07-18,1330,原因・メカニズム解説型,GLP-1 食欲抑制,血糖・甘味料軸,-,en,https://i.ytimg.com/vi/FGQL32Zw0Qk/maxresdefault.jpg
参考枠,I quit sugar for 6 months - Here’s what changed & How I did it,https://www.youtube.com/watch?v=wNu087h3OAQ,Flourished Hope,177000,1409802,7.96,2026-01-13,684,原因・メカニズム解説型,stop sugar cravings / sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/wNu087h3OAQ/maxresdefault.jpg
参考枠,I'm a 24 year old adult man who's addicted to sugar,https://www.youtube.com/watch?v=q58Cwgcml_0,rj's notebook,22800,105424,4.62,2026-01-27,401,原因・メカニズム解説型,sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/q58Cwgcml_0/maxresdefault.jpg
参考枠,"Are you taking care of your gut? Turtle-chan, the gut bacteria hunter | Poop changes the future! ...",https://www.youtube.com/watch?v=7n-SUB7FdYA,AJINOMOTO PARK RECIPE,26600,113517,4.27,2026-02-24,239,原因・メカニズム解説型,腸内細菌 食欲,腸・菌軸,-,en,https://i.ytimg.com/vi/7n-SUB7FdYA/maxresdefault.jpg
参考枠,Why Americans CAN’T Quit SUGAR,https://www.youtube.com/watch?v=U_jS4IW0-Uw,messyintheusa,15000,63467,4.23,2026-05-22,1681,原因・メカニズム解説型,sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/U_jS4IW0-Uw/maxresdefault.jpg
参考枠,Retatrutide vs Tesofensine | The Ultimate Fat Loss Comparison (GLP-1 vs Dopamine Explained),https://www.youtube.com/watch?v=IKXrYeqB8LE,PROJECT THEO,1520,6077,4.00,2025-10-30,650,原因・メカニズム解説型,GLP-1 食欲抑制,血糖・甘味料軸,-,en,https://i.ytimg.com/vi/IKXrYeqB8LE/maxresdefault.jpg
参考枠,"How Protein Strategy That Stops Hunger, Speeds Up Fat Loss & Changes Everything",https://www.youtube.com/watch?v=iQuoUsMZTfw,Real Logic Science,12400,49288,3.97,2026-04-02,1181,原因・メカニズム解説型,食欲 抑える 方法,欲求・依存軸,-,en,https://i.ytimg.com/vi/iQuoUsMZTfw/maxresdefault.jpg
参考枠,"The Dark Side of Sugar: Addiction, Cravings, and Health Risks",https://www.youtube.com/watch?v=K0mtcFWspa4,Najariya,30500,120916,3.96,2025-12-30,514,原因・メカニズム解説型,sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/K0mtcFWspa4/maxresdefault.jpg
参考枠,The INSANELY Sweet Sugary Coffee Epidemic,https://www.youtube.com/watch?v=GXrMd0I4ZQw,Kiana Docherty,768000,2649725,3.45,2025-10-18,1613,原因・メカニズム解説型,sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/GXrMd0I4ZQw/maxresdefault.jpg
参考枠,5 Things I Wish I Knew Before Starting a GLP-1 After Menopause | Plus Week 25 Weigh-in Update,https://www.youtube.com/watch?v=HwaHgQjVa7c,Bobbi B.,18100,60440,3.34,2025-07-15,986,原因・メカニズム解説型,GLP-1 食欲抑制,血糖・甘味料軸,-,en,https://i.ytimg.com/vi/HwaHgQjVa7c/maxresdefault.jpg
参考枠,"How fixing my GUT HEALTH changed my life | bloating, acne, fatigue",https://www.youtube.com/watch?v=eaVSVA_xg-M,Allison Baek,474000,1452146,3.06,2025-08-30,816,原因・メカニズム解説型,gut bacteria cravings,参考枠(英語),-,en,https://i.ytimg.com/vi/eaVSVA_xg-M/maxresdefault.jpg
参考枠,The 6 PROVEN Ways to Heal Your Gut,https://www.youtube.com/watch?v=HBWydCNV-fQ,Hanna Kim,221000,661012,2.99,2025-05-27,856,原因・メカニズム解説型,gut bacteria cravings,参考枠(英語),-,en,https://i.ytimg.com/vi/HBWydCNV-fQ/maxresdefault.jpg
参考枠,[Intestinal Health] The Intestinal Environment Affects Muscle Growth and Weight Loss | The Truth ...,https://www.youtube.com/watch?v=Vz_hvHeGE54,五味原領,36400,99791,2.74,2025-09-28,1046,原因・メカニズム解説型,痩せ菌 増やす,腸・菌軸,-,en,https://i.ytimg.com/vi/Vz_hvHeGE54/maxresdefault.jpg
参考枠,What Nobody Tells You about Nutrition on a GLP-1 | The Truth About Eating Less,https://www.youtube.com/watch?v=NZJDUOgbLy4,Get Fierce with Leo,19500,53074,2.72,2026-04-23,1326,原因・メカニズム解説型,GLP-1 食欲抑制,血糖・甘味料軸,-,en,https://i.ytimg.com/vi/NZJDUOgbLy4/maxresdefault.jpg
参考枠,Stop Sugar Cravings in 1 Move! | එකෙන්ම සීනි ආශාව අතුරුදහන් කරමු | Dr vajira 54 Kg loss secret,https://www.youtube.com/watch?v=KY-7Hrdpo6k,Dr V & A Health tips,18900,50311,2.66,2025-09-09,237,対策・やめ方型,stop sugar cravings,参考枠(英語),-,en,https://i.ytimg.com/vi/KY-7Hrdpo6k/maxresdefault.jpg
参考枠,"How to quit sugar in 5 steps for more energy, fewer cravings and better health",https://www.youtube.com/watch?v=HZmJLcYkS-8,The Doctor's Kitchen,770000,1984029,2.58,2025-08-24,698,原因・メカニズム解説型,stop sugar cravings / sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/HZmJLcYkS-8/maxresdefault.jpg
参考枠,What Happens If You Quit Sugar for 30 Days? | Dr Richa Tiwari,https://www.youtube.com/watch?v=5c73NimNWqw,Dr. Richa Tiwari,376000,840797,2.24,2026-03-13,589,原因・メカニズム解説型,stop sugar cravings / sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/5c73NimNWqw/maxresdefault.jpg
参考枠,I think we have a sugar problem,https://www.youtube.com/watch?v=_dZYoFhrzk8,David Achu,786000,1196842,1.52,2026-07-22,2257,原因・メカニズム解説型,sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/_dZYoFhrzk8/maxresdefault.jpg
参考枠,The Story of Sugar,https://www.youtube.com/watch?v=t6LaASZHDgc,Global Health Media Project,3030000,4553260,1.50,2024-09-26,286,原因・メカニズム解説型,sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/t6LaASZHDgc/maxresdefault.jpg
参考枠,"America's INSANE Sugar Addiction, Compared.",https://www.youtube.com/watch?v=Efi7zjl_SIY,Type Ashton,256000,364670,1.42,2025-10-26,1203,原因・メカニズム解説型,sugar addiction,参考枠(英語),-,en,https://i.ytimg.com/vi/Efi7zjl_SIY/maxresdefault.jpg
